feature,p_val,pct_valid,pct_ctrl,avg_valid,avg_ctrl,sd_valid,sd_ctrl,esm,valid_group,adj_pval,FC,log(FC),norm_diff
TNFSF9,0.37097522047833587,0.01818181818181818,0.0,0.11098113524618558,0.0,0.8230581273089208,0.0,0.19069251784911845,healthy,0.7014804169044897,inf,inf,0.11098113524618558
WNT8B,0.37097522047833587,0.01818181818181818,0.0,0.1409905917644012,0.0,1.0456142133378743,0.0,0.1906925178491185,healthy,0.6972546312604867,inf,inf,0.1409905917644012
AXL,0.37097522047833587,0.01818181818181818,0.0,0.12365293668071788,0.0,0.9170347219364762,0.0,0.1906925178491184,healthy,0.6930794538277891,inf,inf,0.12365293668071788
ERBB2,0.37097522047833587,0.01818181818181818,0.0,0.11098113524618558,0.0,0.8230581273089208,0.0,0.19069251784911845,healthy,0.688953980888338,inf,inf,0.11098113524618558
SLC1A3,0.37097522047833587,0.01818181818181818,0.0,0.1284168958609394,0.0,0.9523651888014202,0.0,0.19069251784911848,healthy,0.6848773301138509,inf,inf,0.1284168958609394
FGF23,0.37097522047833587,0.01818181818181818,0.0,0.16937801606516822,0.0,1.2561409864897655,0.0,0.19069251784911845,healthy,0.6808486399367105,inf,inf,0.16937801606516822
IL12A,0.37097522047833587,0.01818181818181818,0.0,0.10954852557120731,0.0,0.8124336096047481,0.0,0.1906925178491185,healthy,0.6768670689429286,inf,inf,0.10954852557120731
EFNA4,0.37097522047833587,0.01818181818181818,0.0,0.11353520750633303,0.0,0.8419996341405592,0.0,0.19069251784911842,healthy,0.6729317952862837,inf,inf,0.11353520750633303
GCGR,0.37097522047833587,0.01818181818181818,0.0,0.0947327637880176,0.0,0.7025569794830868,0.0,0.19069251784911848,healthy,0.6690420161227791,inf,inf,0.0947327637880176
SLITRK1,0.37097522047833587,0.01818181818181818,0.0,0.10954852557120731,0.0,0.8124336096047481,0.0,0.1906925178491185,healthy,0.6651969470646023,inf,inf,0.10954852557120731
WNT16,0.37097522047833587,0.01818181818181818,0.0,0.1662325221414232,0.0,1.232813379211319,0.0,0.19069251784911848,healthy,0.6613958216528045,inf,inf,0.1662325221414232
PTGER3,0.37097522047833587,0.01818181818181818,0.0,0.11098113524618558,0.0,0.8230581273089208,0.0,0.19069251784911845,healthy,0.6576378908479591,inf,inf,0.11098113524618558
KCNQ3,0.37097522047833587,0.01818181818181818,0.0,0.10728573533433687,0.0,0.7956523080734544,0.0,0.19069251784911856,healthy,0.6539224225380835,inf,inf,0.10728573533433687
SLITRK4,0.37097522047833587,0.01818181818181818,0.0,0.10954852557120731,0.0,0.8124336096047481,0.0,0.1906925178491185,healthy,0.6502487010631505,inf,inf,0.10954852557120731
HSD17B1,0.37097522047833587,0.01818181818181818,0.0,0.11389325702450455,0.0,0.8446550004355282,0.0,0.19069251784911845,healthy,0.6466160267555352,inf,inf,0.11389325702450455
MET,0.37097522047833587,0.01818181818181818,0.0,0.12091888629166091,0.0,0.8967584615775078,0.0,0.19069251784911853,healthy,0.6430237154957822,inf,inf,0.12091888629166091
ENG,0.37097522047833587,0.01818181818181818,0.0,0.12091888629166091,0.0,0.8967584615775078,0.0,0.19069251784911853,healthy,0.6394710982830983,inf,inf,0.12091888629166091
DYSF,0.37097522047833587,0.01818181818181818,0.0,0.10954852557120731,0.0,0.8124336096047481,0.0,0.1906925178491185,healthy,0.6359575208200043,inf,inf,0.10954852557120731
CNTN2,0.37097522047833587,0.01818181818181818,0.0,0.0947327637880176,0.0,0.7025569794830868,0.0,0.19069251784911848,healthy,0.6324823431106055,inf,inf,0.0947327637880176
ITGA2B,0.37097522047833587,0.01818181818181818,0.0,0.11763203007479571,0.0,0.8723824834746915,0.0,0.19069251784911845,healthy,0.6290449390719608,inf,inf,0.11763203007479571
WNT5A,0.37097522047833587,0.01818181818181818,0.0,0.11353520750633303,0.0,0.8419996341405592,0.0,0.19069251784911842,healthy,0.6256446961580583,inf,inf,0.11353520750633303
LRRTM3,0.37097522047833587,0.01818181818181818,0.0,0.13350980099732548,0.0,0.990135184168808,0.0,0.19069251784911853,healthy,0.6222810149959183,inf,inf,0.13350980099732548
PROS1,0.37097522047833587,0.01818181818181818,0.0,0.1324603399099626,0.0,0.9823521724404422,0.0,0.1906925178491184,healthy,0.6189533090333732,inf,inf,0.1324603399099626
LRP1,0.37097522047833587,0.01818181818181818,0.0,0.11879122309577085,0.0,0.8809792890030989,0.0,0.19069251784911853,healthy,0.6156610041980893,inf,inf,0.11879122309577085
RORC,0.37097522047833587,0.01818181818181818,0.0,0.16083347723675034,0.0,1.1927729905575228,0.0,0.19069251784911845,healthy,0.6124035385674116,inf,inf,0.16083347723675034
DHCR24,0.37097522047833587,0.01818181818181818,0.0,0.11939985510806803,0.0,0.8854930248118954,0.0,0.19069251784911848,healthy,0.6091803620486358,inf,inf,0.11939985510806803
